__init__ Optimal Geometry
[(4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40)]
[38, 4, 35, 14, 38, 12, 40, 13, 15, 37, 13, 16, 19, 10, 16, 30, 6, 27, 7, 22] 2.9903950984782592e-05
[30, 6, 23, 15, 36, 20, 35, 20, 18, 25, 16, 40, 37, 21, 22, 21, 38, 28, 24, 20] 4.1441847869434626e-05
[5, 19, 7, 29, 7, 39, 34, 33, 35, 26, 24, 39, 30, 30, 40, 27, 20, 4, 38, 6] 2.9896681523347647e-05
[26, 7, 35, 14, 28, 9, 25, 17, 29, 6, 40, 9, 15, 5, 36, 27, 24, 14, 12, 32] 2.7814192138575522e-05
[39, 13, 8, 25, 10, 12, 7, 24, 31, 24, 19, 30, 14, 23, 15, 33, 40, 30, 20, 6] 4.3895412185386496e-05
[36, 35, 12, 30, 8, 38, 33, 40, 37, 22, 40, 39, 15, 16, 29, 15, 11, 25, 39, 29] 2.567573495140606e-05
[4, 38, 4, 12, 28, 5, 24, 11, 39, 4, 13, 5, 25, 14, 7, 20, 17, 22, 11, 33] 2.782544563484962e-05
[37, 6, 37, 26, 39, 10, 16, 14, 26, 29, 25, 6, 6, 37, 36, 30, 31, 15, 4, 39] 2.6046098493192664e-05
[28, 7, 27, 36, 30, 32, 21, 7, 31, 35, 21, 7, 28, 25, 28, 8, 38, 4, 19, 22] 2.4015779326872305e-05
[18, 7, 14, 11, 5, 19, 36, 21, 7, 15, 22, 26, 6, 23, 23, 25, 27, 21, 5, 30] 3.6633725500029024e-05
[22, 20, 15, 36, 15, 12, 40, 34, 13, 23, 13, 24, 33, 18, 6, 12, 34, 27, 34, 39] 2.1148897449079777e-05
[34, 9, 7, 24, 27, 15, 20, 31, 16, 28, 37, 29, 38, 40, 16, 32, 35, 36, 28, 30] 5.209859962401258e-05
[20, 23, 15, 23, 6, 20, 14, 16, 8, 9, 12, 31, 5, 15, 14, 23, 16, 9, 39, 35] 1.3859854411556709e-05
