__init__ Optimal Geometry
[(4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40), (4, 40)]
[19, 35, 26, 37, 4, 13, 39, 18, 5, 29, 24, 34, 20, 30, 15, 34, 6, 30] 4.98336635069352e-05
[7, 11, 30, 40, 17, 32, 8, 18, 31, 18, 18, 32, 29, 39, 36, 7, 22, 12] 3.1942732201240916e-05
[22, 37, 7, 11, 33, 12, 5, 26, 35, 26, 27, 11, 39, 39, 12, 5, 17, 6] 6.689769115658264e-05
[19, 8, 33, 36, 19, 38, 27, 21, 19, 34, 17, 33, 28, 34, 33, 19, 30, 32] 5.085622455346558e-05
[38, 15, 21, 10, 18, 40, 30, 4, 33, 25, 5, 37, 27, 39, 19, 25, 21, 36] 2.5437332797661716e-05
[6, 21, 37, 10, 32, 29, 33, 10, 23, 4, 26, 32, 10, 28, 4, 19, 9, 39] 3.030818913618131e-05
[13, 32, 27, 31, 11, 30, 17, 38, 17, 25, 29, 7, 31, 37, 6, 32, 22, 16] 3.4625513969503033e-05
[23, 14, 31, 25, 14, 35, 34, 4, 29, 14, 32, 37, 39, 5, 13, 22, 8, 35] 3.494070445713269e-05
[37, 35, 35, 12, 23, 37, 39, 35, 33, 22, 35, 6, 6, 19, 4, 27, 24, 21] 3.454745161147339e-05
[7, 30, 38, 12, 21, 35, 31, 8, 7, 17, 35, 19, 38, 19, 24, 39, 20, 6] 3.438817700965829e-05
[23, 30, 22, 40, 7, 11, 6, 23, 16, 27, 33, 12, 17, 14, 15, 31, 35, 5] 6.299834138172073e-05
[33, 8, 24, 19, 5, 9, 9, 26, 9, 35, 9, 23, 37, 7, 7, 26, 35, 39] 1.7849635523676417e-05
[15, 11, 38, 19, 16, 21, 34, 7, 20, 17, 23, 16, 40, 39, 35, 27, 37, 37] 1.2619849126464616e-05
[28, 5, 34, 22, 39, 21, 16, 39, 15, 16, 24, 6, 17, 37, 7, 21, 8, 23] 3.668740925052392e-05
[33, 7, 32, 23, 22, 21, 10, 26, 36, 34, 30, 13, 13, 5, 31, 16, 18, 31] 3.060620786169982e-05
[12, 14, 16, 18, 33, 21, 37, 5, 31, 30, 31, 26, 35, 34, 18, 31, 38, 31] 2.1743665270230464e-05
[39, 12, 40, 31, 34, 33, 6, 33, 14, 38, 28, 16, 23, 29, 12, 20, 18, 25] 4.997727766690477e-05
[34, 13, 8, 37, 37, 10, 8, 4, 32, 26, 22, 13, 6, 31, 17, 20, 37, 17] 5.076094868805732e-05
